service,Value,Percentage,service_long,
LRN_CMS,Not Interested,44.7,Canvas,
LRN_CMS,Somewhat interested,31.8,Canvas,
LRN_CMS,Interested,17.4,Canvas,
LRN_CMS,Very interested,6.1,Canvas,
LRN_GAIT,Not Interested,25.1,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF),
LRN_GAIT,Somewhat interested,32.5,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF),
LRN_GAIT,Interested,26.7,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF),
LRN_GAIT,Very interested,15.8,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF),
LRN_OOO,Not Interested,34.2,Learning_New_Skills_One-on-one_instruction,
LRN_OOO,Somewhat interested,35.5,Learning_New_Skills_One-on-one_instruction,
LRN_OOO,Interested,20.5,Learning_New_Skills_One-on-one_instruction,
LRN_OOO,Very interested,9.8,Learning_New_Skills_One-on-one_instruction,
LRN_PGL,Not Interested,30.2,Learning_New_Skills_Peer_group_learning,
LRN_PGL,Somewhat interested,35.4,Learning_New_Skills_Peer_group_learning,
LRN_PGL,Interested,27.9,Learning_New_Skills_Peer_group_learning,
LRN_PGL,Very interested,6.6,Learning_New_Skills_Peer_group_learning,
LRN_SDD,Not Interested,30.3,Learning_New_Skills_Self-directed_with_documentation,
LRN_SDD,Somewhat interested,30.9,Learning_New_Skills_Self-directed_with_documentation,
LRN_SDD,Interested,30.0,Learning_New_Skills_Self-directed_with_documentation,
LRN_SDD,Very interested,8.8,Learning_New_Skills_Self-directed_with_documentation,
LRN_SDOT,Not Interested,26.1,Learning_New_Skills_Self-directed_with_online_tutorial,
LRN_SDOT,Somewhat interested,27.0,Learning_New_Skills_Self-directed_with_online_tutorial,
LRN_SDOT,Interested,36.5,Learning_New_Skills_Self-directed_with_online_tutorial,
LRN_SDOT,Very interested,10.4,Learning_New_Skills_Self-directed_with_online_tutorial,
LRN_TE,Not Interested,23.7,Learning_New_Skills_Trial_and_error,
LRN_TE,Somewhat interested,32.5,Learning_New_Skills_Trial_and_error,
LRN_TE,Interested,31.8,Learning_New_Skills_Trial_and_error,
LRN_TE,Very interested,12.0,Learning_New_Skills_Trial_and_error,
LRN_WTS,Not Interested,25.2,Learning_New_Skills_Workshop_Training_Session,
LRN_WTS,Somewhat interested,37.0,Learning_New_Skills_Workshop_Training_Session,
LRN_WTS,Interested,26.9,Learning_New_Skills_Workshop_Training_Session,
LRN_WTS,Very interested,10.8,Learning_New_Skills_Workshop_Training_Session,